"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"22-O-j25-4",4,"O","Raxstraße, Rudolfshügelgasse - Praterstern",0,"C00808","FFFFFF"
"23-10A-j25-1",4,"10A","Heiligenstadt - Niederhofstraße",3,"0A295D","FFFFFF"
"23-10A-j25-2",4,"10A","Heiligenstadt - Niederhofstraße",3,"0A295D","FFFFFF"
"23-10A-j25-24",4,"10A","Heiligenstadt - Niederhofstraße",3,"0A295D","FFFFFF"
"23-10A-j25-31",4,"10A","Heiligenstadt - Niederhofstraße",3,"0A295D","FFFFFF"
"23-11A-j25-1",4,"11A","Stadion - Heiligenstadt",3,"0A295D","FFFFFF"
"23-11A-j25-2",4,"11A","Stadion - Heiligenstadt",3,"0A295D","FFFFFF"
"23-11A-j25-3",4,"11A","Stadion - Heiligenstadt",3,"0A295D","FFFFFF"
"23-11A-j25-4",4,"11A","Stadion - Heiligenstadt",3,"0A295D","FFFFFF"
"23-11A-j25-5",4,"11A","Stadion - Lassallestraße Baustellenfahrplan",3,"0A295D","FFFFFF"
"23-11A-j25-91",4,"11A","Stadion - Heiligenstadt Baustellenfahrplan gültig bis vsl. April 2025",3,"0A295D","FFFFFF"
"23-11B-j25-1",4,"11B","Hillerstraße - Friedrich-Engels-Platz",3,"0A295D","FFFFFF"
"23-11B-j25-2",4,"11B","Vorgartenstraße - Friedrich-Engels-Platz",3,"0A295D","FFFFFF"
"23-11B-j25-24",4,"11B","Hillerstraße - Friedrich-Engels-Platz",3,"0A295D","FFFFFF"
"23-11B-j25-3",4,"11B","Hillerstraße - Friedrich-Engels-Platz",3,"0A295D","FFFFFF"
"23-11B-j25-31",4,"11B","Hillerstraße - Friedrich-Engels-Platz",3,"0A295D","FFFFFF"
"23-11B-j25-91",4,"11B","Hillerstraße - Friedrich-Engels-Platz Baustellenfahrplan gültig bis vsl. April 2025",3,"0A295D","FFFFFF"
"23-11E-j25-1",4,"11E","Geiereckstraße - Enkplatz Schienenersatzverkehr gültig von 18.03. bis 18.04.2025",3,"0A295D","FFFFFF"
"23-12A-j25-1",4,"12A","Schmelz, Gablenzgasse - Eichenstraße",3,"0A295D","FFFFFF"
"23-12A-j25-2",4,"12A","Schweglerstraße - Eichenstraße Baustellenfahrplan",3,"0A295D","FFFFFF"
"23-12A-j25-24",4,"12A","Schmelz, Gablenzgasse - Eichenstraße",3,"0A295D","FFFFFF"
"23-12A-j25-3",4,"12A","Schmelz, Gablenzgasse - Eichenstraße",3,"0A295D","FFFFFF"
"23-12A-j25-31",4,"12A","Schmelz, Gablenzgasse - Eichenstraße",3,"0A295D","FFFFFF"
"23-12A-j25-4",4,"12A","Schmelz, Gablenzgasse - Eichenstraße",3,"0A295D","FFFFFF"
"23-13A-j25-1",4,"13A","Skodagasse - Hauptbahnhof",3,"0A295D","FFFFFF"
"23-13A-j25-2",4,"13A","Skodagasse - Hauptbahnhof",3,"0A295D","FFFFFF"
"23-13A-j25-24",4,"13A","Piaristengasse - Hauptbahnhof",3,"0A295D","FFFFFF"
"23-13A-j25-3",4,"13A","Piaristengasse - Hauptbahnhof",3,"0A295D","FFFFFF"
"23-13A-j25-31",4,"13A","Piaristengasse - Hauptbahnhof",3,"0A295D","FFFFFF"
"23-13A-j25-4",4,"13A","Piaristengasse - Hauptbahnhof",3,"0A295D","FFFFFF"
"23-14A-j25-1",4,"14A","Neubaugasse - Reumannplatz",3,"0A295D","FFFFFF"
"23-14A-j25-2",4,"14A","Neubaugasse - Reumannplatz",3,"0A295D","FFFFFF"
"23-14A-j25-24",4,"14A","Neubaugasse - Reumannplatz",3,"0A295D","FFFFFF"
"23-14A-j25-3",4,"14A","Neubaugasse - Reumannplatz",3,"0A295D","FFFFFF"
